taxa_name,Common Name,Scientific Name,PHYLUM,CLASS,ORDER,FAMILY,GENUS,Temp,Trophic class,Tolerance,Stream flow,Origin
Notropis volucellus,Mimic Shiner,Notropis volucellus,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,NOTROPIS,,,,,
Oncorhynchus aguabonita,Golden Trout,Oncorhynchus aguabonita,CHORDATA,ACTINOPTERYGII,SALMONIFORMES,SALMONIDAE,ONCORHYNCHUS,,,,,
Oncorhynchus mykiss,Rainbow trout,Oncorhynchus mykiss,CHORDATA,ACTINOPTERYGII,SALMONIFORMES,SALMONIDAE,ONCORHYNCHUS,,,,,
Oncorhynchus nerka,Kokanee Salmon,Oncorhynchus nerka,CHORDATA,ACTINOPTERYGII,SALMONIFORMES,SALMONIDAE,ONCORHYNCHUS,,,,,
Ophidion marginatum,STRIPED CUSK-EEL,Ophidion marginatum,CHORDATA,ACTINOPTERYGII,OPHIDIIFORMES,OPHIDIIDAE,OPHIDION,,,,,
Opsanus tau,OYSTER TOADFISH,Opsanus tau,CHORDATA,ACTINOPTERYGII,BATRACHOIDIFORMES,BATRACHOIDIDAE,OPSANUS,,,,,
Osmerus mordax,RAINBOW SMELT,Osmerus mordax,CHORDATA,ACTINOPTERYGII,OSMERIFORMES,OSMERIDAE,OSMERUS,,,,,
Osteichthyes,NO FISH CAUGHT (Not Dry),Osteichthyes,CHORDATA,NA,NA,NA,NA,,,,,
Paralichthys dentatus,SUMMER FLOUNDER,Paralichthys dentatus,CHORDATA,ACTINOPTERYGII,PLEURONECTIFORMES,PARALICHTHYIDAE,PARALICHTHYS,,,,,
Paralichthys oblongus,Fourspot flounder,Paralichthys oblongus,CHORDATA,ACTINOPTERYGII,PLEURONECTIFORMES,PARALICHTHYIDAE,PARALICHTHYS,,,,,
Perca flavescens,Yellow perch,Perca flavescens,CHORDATA,ACTINOPTERYGII,PERCIFORMES,PERCIDAE,PERCA,C-W,TC,M,MG,N
Petromyzon marinus,Sea lamprey,Petromyzon marinus,CHORDATA,CEPHALASPIDOMORPHI,PETROMYZONTIFORMES,PETROMYZONTIDAE,PETROMYZON,C-W,PF,M,FD,N
Pholis gunnellus,ROCK GUNNEL,Pholis gunnellus,CHORDATA,ACTINOPTERYGII,PERCIFORMES,PHOLIDAE,PHOLIS,,,,,
Pimephales notatus,Bluntnose minnow,Pimephales notatus,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,PIMEPHALES,W,GF,T, ,A
Pimephales promelas,Fathead minnow,Pimephales promelas,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,PIMEPHALES,W,GF,T,MG,A
Pollachius virens,POLLOCK,Pollachius virens,CHORDATA,ACTINOPTERYGII,GADIFORMES,GADIDAE,POLLACHIUS,,,,,
Pomatomus saltatrix,Bluefish,Pomatomus saltatrix,CHORDATA,ACTINOPTERYGII,PERCIFORMES,POMATOMIDAE,POMATOMUS,,,,,
Pomoxis annularis,White Crappie,Pomoxis annularis,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CENTRARCHIDAE,POMOXIS,,,,,
Pomoxis nigromaculatus,Black Crappie,Pomoxis nigromaculatus,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CENTRARCHIDAE,POMOXIS,W,TC,M,MG,A
Priacanthus arenatus,BIGEYE,Priacanthus arenatus,CHORDATA,ACTINOPTERYGII,PERCIFORMES,PRIACANTHIDAE,PRIACANTHUS,,,,,
Prionotus carolinus,Northern searobin,Prionotus carolinus,CHORDATA,ACTINOPTERYGII,SCORPAENIFORMES,TRIGLIDAE,PRIONOTUS,,,,,
