taxa_name,Common Name,Scientific Name,PHYLUM,CLASS,ORDER,FAMILY,GENUS,Temp,Trophic class,Tolerance,Stream flow,Origin
Tautogolabrus adsperus,Cunner,Tautogolabrus adsperus,CHORDATA,ACTINOPTERYGII,PERCIFORMES,LABRIDAE,TAUTOGOLABRUS,,,,,
Tinca tinca,Tench,Tinca tinca,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,TINCA,,,,,
Trachinotus carolinus,POMPANO,Trachinotus carolinus,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CARANGIDAE,TRACHINOTUS,,,,,
Trachurus lathami,ROUGH SCAD (SAUREL),Trachurus lathami,CHORDATA,ACTINOPTERYGII,PERCIFORMES,CARANGIDAE,TRACHURUS,,,,,
Triglops murrayi,MOUSTACHE SCULPIN,Triglops murrayi,CHORDATA,ACTINOPTERYGII,SCORPAENIFORMES,COTTIDAE,TRIGLOPS,,,,,
Trinectes maculatus,Hogchoker,Trinectes maculatus,CHORDATA,ACTINOPTERYGII,PLEURONECTIFORMES,ACHIRIDAE,TRINECTES,,,,,
Umbra limi,Central mudminnow,Umbra limi,CHORDATA,ACTINOPTERYGII,ESOCIFORMES,UMBRIDAE,UMBRA,,,,,
Upeneus parvus,DWARF GOATFISH,Upeneus parvus,CHORDATA,ACTINOPTERYGII,PERCIFORMES,MULLIDAE,UPENEUS,,,,,
Urophycis chuss,Red hake,Urophycis chuss,CHORDATA,ACTINOPTERYGII,GADIFORMES,GADIDAE,UROPHYCIS,,,,,
Urophycis regia,SPOTTED HAKE,Urophycis regia,CHORDATA,ACTINOPTERYGII,GADIFORMES,GADIDAE,UROPHYCIS,,,,,
